agency_id,route_id,route_short_name,route_type,route_long_name,route_url,route_color,route_text_color,route_sort_order
STCP,702,702,3,BOLHÃO-TRAVAGEM,http://www.stcp.pt/pt/viajar/linhas/?linha=702,FF0000,FFFFFF,42
STCP,703,703,3,CORDOARIA-SONHOS,http://www.stcp.pt/pt/viajar/linhas/?linha=703,FF0000,FFFFFF,43
STCP,704,704,3,BOAVISTA - CODICEIRA,http://www.stcp.pt/pt/viajar/linhas/?linha=704,FF0000,FFFFFF,44
STCP,705,705,3,HOSPITAL S. JOÃO-VALONGO (CONTINENTE),http://www.stcp.pt/pt/viajar/linhas/?linha=705,FF0000,FFFFFF,45
STCP,706,706,3,H.S.JOÃO - ERMESINDE(EST)VIA MTE PENEDO,http://www.stcp.pt/pt/viajar/linhas/?linha=706,FF0000,FFFFFF,46
STCP,707,707,3,H.S.JOÃO-ERMESINDE(EST)VIA ARREGADAS,http://www.stcp.pt/pt/viajar/linhas/?linha=707,FF0000,FFFFFF,47
STCP,7M,7M,3,AV.ALIADOS - VALONGO,http://www.stcp.pt/pt/viajar/linhas/?linha=7M,000000,FFFFFF,68
STCP,800,800,3,BOLHÃO-GONDOMAR,http://www.stcp.pt/pt/viajar/linhas/?linha=800,A347FF,FFFFFF,48
STCP,801,801,3,CORDOARIA-S.PEDRO DA COVA,http://www.stcp.pt/pt/viajar/linhas/?linha=801,A347FF,FFFFFF,49
STCP,803,803,3,BOAVISTA-RIO TINTO(Esc. Sec.),http://www.stcp.pt/pt/viajar/linhas/?linha=803,A347FF,FFFFFF,50
STCP,804,804,3,HOSPITAL S.JOÃO-S.PEDRO DA COVA,http://www.stcp.pt/pt/viajar/linhas/?linha=804,A347FF,FFFFFF,51
STCP,805,805,3,MARQUÊS-RIO TINTO (ESTAÇÃO),http://www.stcp.pt/pt/viajar/linhas/?linha=805,A347FF,FFFFFF,52
STCP,806,806,3,MARQUÊS - FÂNZERES (METRO),http://www.stcp.pt/pt/viajar/linhas/?linha=806,A347FF,FFFFFF,53
STCP,8M,8M,3,AV.ALIADOS - S.PEDRO DA COVA,http://www.stcp.pt/pt/viajar/linhas/?linha=8M,000000,FFFFFF,69
STCP,900,900,3,CORDOARIA-STO. OVÍDIO,http://www.stcp.pt/pt/viajar/linhas/?linha=900,FF7900,FFFFFF,54
STCP,901,901,3,TRINDADE-VALADARES,http://www.stcp.pt/pt/viajar/linhas/?linha=901,FF7900,FFFFFF,55
STCP,902,902,3,BOAVISTA - LAVADORES,http://www.stcp.pt/pt/viajar/linhas/?linha=902,FF7900,FFFFFF,56
STCP,903,903,3,BOAVISTA-LABORIM,http://www.stcp.pt/pt/viajar/linhas/?linha=903,FF7900,FFFFFF,57
STCP,904,904,3,BOLHÃO-COIMBRÕES,http://www.stcp.pt/pt/viajar/linhas/?linha=904,FF7900,FFFFFF,58
STCP,905,905,3,TRINDADE-MADALENA (C.SAÚDE),http://www.stcp.pt/pt/viajar/linhas/?linha=905,FF7900,FFFFFF,59
STCP,906,906,3,TRINDADE-MADALENA,http://www.stcp.pt/pt/viajar/linhas/?linha=906,FF7900,FFFFFF,60
STCP,907,907,3,BOAVISTA-VILA D'ESTE,http://www.stcp.pt/pt/viajar/linhas/?linha=907,FF7900,FFFFFF,61
STCP,9M,9M,3,ALIADOS-GONDOMAR (VIA TIC),http://www.stcp.pt/pt/viajar/linhas/?linha=9M,000000,FFFFFF,70
