stop_lat,stop_lon,stop_id,stop_code,stop_name,zone_id,stop_url
41.24535,-8.664754,DACM2,DACM2,DR. A. COSTA MAIA,VCD8,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DACM2
41.173766,-8.685467,DAFC1,DAFC1,DR. AFONSO CORDEIRO,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DAFC1
41.173415,-8.685524,DAFC2,DAFC2,DR. AFONSO CORDEIRO,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DAFC2
41.135111,-8.625306,DAG1,DAG1,DR.ANTÓNIO GRANJO,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DAG1
41.172678,-8.681454,DAH1,DAH1,D.AFONSO HENRIQUES,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DAH1
41.172398,-8.681619,DAH2,DAH2,D.AFONSO HENRIQUES,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DAH2
41.157745,-8.598936,DAM,DAM,D.AMÉLIA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DAM
41.186143,-8.603557,DB2,DB2,DR. BARROS,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DB2
41.204834,-8.638115,DBT1,DBT1,DR DOMINGOS BONTEMPO,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DBT1
41.204901,-8.638055,DBT2,DBT2,DR.DOMINGOS BONTEMPO,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DBT2
41.165333,-8.592719,DC1,DC1,DIOGO CÃO,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DC1
41.16592,-8.592233,DC2,DC2,DIOGO CÃO,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DC2
41.164524,-8.592225,DC4,DC4,DIOGO CÃO,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DC4
41.164756,-8.592348,DC5,DC5,DIOGO CÃO,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DC5
41.159078,-8.604435,DCAS1,DCAS1,DOZE CASAS,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DCAS1
41.158198,-8.604619,DCAS2,DCAS2,DOZE CASAS,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DCAS2
41.2005,-8.583055,DCPF1,DCPF1,DR.CARLOS FELGUEIRAS,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DCPF1
41.200564,-8.583269,DCPF2,DCPF2,DR. CARLOS FELGUEIRAS,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DCPF2
41.172445,-8.560344,DCS3,DCS3,DAVID CORREIA DA SILVA,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DCS3
41.172478,-8.560314,DCS4,DCS4,DAVID CORREIA DA SILVA,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DCS4
41.198075,-8.583712,DDN1,DDN1,D.DINIS,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DDN1
41.19775,-8.583306,DDN2,DDN2,D.DINIS,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DDN2
41.174499,-8.587836,DESS1,DESS1,DR. EDUARDO SANTOS SILVA,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DESS1
41.174694,-8.588166,DESS2,DESS2,DR. EDUARDO SANTOS SILVA,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DESS2
41.129147,-8.613595,DISP1,DISP1,DISPENSÁRIO,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DISP1
41.129278,-8.615472,DISP2,DISP2,DISPENSÁRIO,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DISP2
41.153634,-8.675947,DIU1,DIU1,DIU,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DIU1
41.176722,-8.686806,DJ1,DJ1,D.JOÃO I,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DJ1
41.157265,-8.661252,DJ31,DJ31,D.JOÃO III,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DJ31
41.157607,-8.660292,DJ32,DJ32,D.JOÃO III,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DJ32
41.1196,-8.60638,DJM1,DJM1,D.JOÃO II (METRO),VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DJM1
41.12012,-8.60565,DJM2,DJM2,D.JOÃO II (METRO),VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DJM2
41.148972,-8.601694,DJOA4,DJOA4,D. JOÃO IV,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DJOA4
41.147,-8.659708,DL1,DL1,D. LEONOR,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DL1
41.147163,-8.660278,DL2,DL2,D. LEONOR,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DL2
